mmsi,imo
256576000,9525924
258023000,9762986
258758000,9312482
302059784,9230177
305514000,9474371
307177806,9289611
309415000,9360922
309977000,9298674
311000892,8521220
311001200,9367669
311015100,9338852
311259000,9232802
311661496,9721035
319605040,9519509
325616024,9418054
349146672,9832169
351213136,9661455
351608000,9143362
351700000,9285108
351759016,9400796
352055000,9835886
352519000,9139995
353478000,9545170
354247000,9401336
354871000,8801814
355828000,9223722
356844000,9286877
370066000,9402225
370450000,9619660
370686000,9367748
373158000,9527180
373916000,9592458
374062000,9749879
374217000,9748019
413226056,9635432
422201700,9569205
440078976,9305702
459298696,9260445
474941516,9545780
477333800,9752711
477340100,9494486
477712300,9625413
477845200,9666041
525005254,9270608
525012352,9760809
525107002,9153575
527177592,7616262
533130958,9066435
538002311,9347889
538002730,9345817
538005805,9697246
538005865,9707845
538007272,9317004
538007407,9436472
538007706,9237539
540857720,8608705
559157696,9332456
562276201,9724697
562491136,9691864
562714696,9770189
562953240,9833228
562998198,8898879
563009247,9640803
563010900,9271614
563029220,9703942
563032324,9315678
563036680,9782431
563079100,9323778
563251182,9827217
563528000,9604782
563629002,9239886
563848020,9808479
563981035,9724702
563982112,9378307
563984136,9539755
564011000,9744910
564215009,9253947
565121092,9456513
565232977,9606699
565257000,9407237
565614612,9352066
565625464,9382542
565767037,9251585
566286984,9667784
566343416,9629990
566482000,9462031
567365302,9686728
567532000,9205093
568110864,9659517
574693000,9236896
634475207,9829643
634476356,9772060
635042312,9241798
635504168,9511870
635961346,9468217
636018250,9479008
636019028,9247429
636019443,9240873
984664,9579119
2076184,8911580
2077110,9692521
5336193,9449467
205764000,9732541
209004000,9689835
238301000,9489209
240575000,9304605
248605000,9465801
255805831,9200689
257384000,9753791
259082000,9477593
310685000,9667497
311000621,9781700
311027100,9417098
313900560,9707352
319099700,9194995
352356000,9237400
352378036,9818400
353903000,9560352
353933000,9481233
354361000,9285550
355317784,9370630
356081984,9576911
356984000,9773210
370121000,9786815
370993000,9401116
371570000,9296315
372355000,9650626
373154000,9589138
374703000,9181845
416040000,9790098
431239000,9342736
455366000,9159804
477150600,9740471
477325800,9649524
477407700,9661091
477620200,9184031
477692800,9746190
477730300,9741516
477737900,9686364
477755000,9175107
525019541,9693692
525021218,9685384
525100241,9267364
525200456,9861914
533180137,9568782
537883233,9019602
538003477,9478626
538004317,9524451
538005258,9356892
538006344,9708150
538006802,9726267
538007516,9701308
538007517,9757981
539623438,9213117
562396896,9551337
562489240,9480784
562801776,9393319
562874196,9842750
563039660,9820441
563066100,9825075
563169994,9550682
563429000,9547518
564193000,9495997
564717039,9124512
564728000,9665645
564995000,9196967
565101954,8717257
565134000,9269257
565552025,9501150
566094000,9620279
566200000,9626209
566377088,9485461
567365749,9176981
600698281,9248710
636015431,9532202
636015744,9315381
636016248,9432907
636016819,9699036
636017097,9205067
636017534,9235608
636018526,8916267
636019029,9405485
636019079,9784013
636092722,9589633
2065688,9332262
27595624,9535448
205732000,9810939
208197440,9577123
212398000,9464895
215386000,9762261
220258000,9277797
222821272,9305544
229488000,9280603
232013624,9415844
240125000,9281152
240420000,9291248
240820000,9406673
246663000,9551947
249345464,9014456
255805807,9324174
255805872,9718375
255808256,9525819
257080000,9492579
259985000,9531636
273848910,7941631
305903000,9282948
310560000,9258595
311000080,9601168
311408390,9762106
311675000,9284362
351168000,9422160
353150000,9409584
353873800,9482938
353952000,9697430
355434000,9217682
356284000,9266229
356540000,9182497
356785000,9675274
368473000,9448114
370084000,9125413
370168000,9349007
370328000,9459292
370995000,9390587
372095017,9724697
373108000,9621170
413375790,9474606
414454540,9860221
440283000,9172909
474236960,9549293
477021700,9796999
477045400,9728370
477157100,9712553
477334200,9311311
477463900,9363792
477685616,9382592
477884100,9711145
518100640,8858946
518652399,9302102
525020021,9176981
525300819,9808338
533061200,9434096
533062400,9554951
533896000,9554901
538002531,9286578
538004032,9594743
538005464,9303015
538005822,9717101
538005973,9272773
538007672,9504293
538008282,9543249
562281571,9724582
562408228,9389497
562490907,9696187
562778760,9289491
563006095,9408695
563006410,9316725
563016400,9415014
563026800,9782613
563028800,9743837
563032944,9778741
563170198,9730971
563476000,9284805
563499712,9682112
563588592,9363869
563926992,9434319
563981003,8106109
564012960,8513003
564014403,9739226
564384000,9168831
564452000,9466013
564707606,9263966
564714240,9827994
564758985,9034717
564833000,9800776
564842296,9054339
565108788,9435791
565164084,9525364
565287232,9430727
565665284,9760603
565919021,9683001
566336400,9707352
566479000,9590319
566657016,9679268
566805000,9563940
568433423,9174232
570327304,9727675
625262888,9568744
636012706,9203631
636013055,9299771
636015404,9256755
636016835,9723150
636017059,9742912
636017415,9595852
636017805,9592771
636017983,9423932
636018220,9811957
636018699,9456240
636092159,9477610
636092632,9503689
5250024,9830472
40238028,9250725
204601056,4902921
211698000,9149794
215221000,9702144
215572000,9276028
225420000,9434266
235073571,9410753
237951000,9240512
255805613,9692698
255806099,9509774
256644000,9722651
305256000,9368326
305488000,9417426
305560000,9511636
309333000,9360881
310594000,9355604
310731000,9690171
319098500,9290933
319756000,9503976
351268000,9073062
351446000,9338723
351953000,9000352
352165000,9542879
352654000,9614397
353086000,9542893
353700000,9797864
354149000,9445394
354250000,9604768
357340000,9253181
369333929,9724697
370004000,9446520
370967000,9383417
373698000,9033074
374369000,9683427
374866000,9046784
414213000,9723588
416702000,7920869
422153000,9172038
475093602,9158886
477167600,9609835
477172602,8819976
477328900,9584190
477430100,9708459
477614500,9473418
477848500,9667112
519479856,9202223
525003533,7217092
525020172,9250725
525100094,9154610
525125019,9213117
538005635,9364382
538006384,9315886
538006749,9726798
538007250,9780639
538007693,9743150
538007848,9829899
538008140,9835070
538380176,9087128
563024224,4902921
563036120,9782467
563039352,9739238
563040280,8910902
563048200,9152985
563173028,9407067
563231000,9632014
563332680,9604756
563480004,9456513
